species,num_of_photos
Agaricus arvensis,1086
Agaricus augustus,1078
Agaricus campestris,1105
Agaricus xanthodermus,1014
Amanita caesarea,1166
Amanita citrina,990
Amanita excelsa,1204
Amanita muscaria,1076
Amanita pantherina,1153
Amanita phalloides,1106
Amanita rubescens,1087
Amanita virosa,1058
Armillaria mellea,817
Boletus aereus,1062
Boletus edulis,1074
Boletus pinophilus,864
Boletus reticulatus,1060
Cantharellus cibarius,775
Cantharellus pallens,1091
Chlorophyllum rhacodes,1062
Coprinopsis atramentaria,545
Coprinus comatus,1024
Craterellus cornucopioides,700
Craterellus tubaeformis,655
Fomes fomentarius,807
Gyromitra esculenta,944
Hericium erinaceus,1106
Hydnum repandum,1040
Lactarius deliciosus,1204
Lactarius deterrimus,1133
Lactarius turpis,1064
Lactifluus volemus,1101
Macrolepiota mastoidea,1191
Macrolepiota procera,1039
Morchella esculenta,1107
Pleurotus ostreatus,1015
Rubroboletus satanas,850
Russula cyanoxantha,1197
Russula emetica,950
Russula ochroleuca,1155
Russula vesca,1114
Suillellus luridus,1097
Suillus luteus,1022
Trametes versicolor,1214
Tylopilus felleus,1039
Xerocomellus chrysenteron,1098
